LOC;VEH_SER_NO;INSP_COMT;TS_LOAD;FOUND_INSP_TEAM;RESP_INSP_TEAM;RESP_INSP_OPRUNT
017;XEG792;Bquam bid.;2017-03-06 02:54:20.128000;629;;
017;XEG792;Berat bve ba but ba bad bsit beu ba bet ba ba.;2017-03-06 02:54:51.555000;629;;
017;JHY927;Benim bmi ba bmus bsodales bin.;2017-03-06 02:54:51.571000;629;;
017;XEG792;Berat but bat.;2017-03-06 02:55:08.219000;629;;
017;JHY927;Bdiam bet bcras bquis.;2017-03-06 02:56:18.145000;629;;
017;JHY927;Bdiam but.;2017-03-06 02:56:30.798000;629;;
017;JHY927;Bquis bid bat barcu bet ba bmontes.;2017-03-06 02:56:57.883000;629;;
017;JHY927;Benim bmi but ba.;2017-03-06 02:57:17.095000;629;;
017;JHY927;Benim bin barcu.;2017-03-06 02:57:41.489000;629;;
017;XOG241;Bnisl bid beu ba ba bmagna bin.;2017-03-06 02:59:56.589000;107;;
017;XOG241;Bnunc bid ba bnibh ba.;2017-03-06 03:00:42.601000;107;;
017;NGC871;Bnisi bin bmi bpurus ba bdiam bfusce bat baptent bvel.;2017-03-06 03:01:12.016000;509;;
017;XOG241;Bnunc bac ba bat.;2017-03-06 03:01:14.165000;107;;
017;NGC871;Bodio bat.;2017-03-06 03:01:31.295000;509;;
017;BTO107;Borci bet ba ba bat ba ba barcu bve ba.;2017-03-06 03:01:38.557000;629;;
017;NGC871;Barcu bac ba bdis bcommodo.;2017-03-06 03:01:53.303000;509;;
017;XOG241;Beget bmi ba bac bat bfelis ba.;2017-03-06 03:02:03.607000;107;;
017;NGC871;Bcras bat ba ba bac bduis beni bve beu bac ba btempor.;2017-03-06 03:02:16.880000;509;;
017;BTO107;Bquis bad ba.;2017-03-06 03:02:22.760000;629;;
017;NGC871;Bquis bad bnunc blitora bmorbi bet.;2017-03-06 03:02:37.009000;509;;
017;BTO107;Bnisl beu ba.;2017-03-06 03:02:43.697000;629;;
017;XOG241;Bnibh bac.;2017-03-06 03:02:49.743000;107;;
017;BTO107;Bnisl bve ba ba ba bac bper.;2017-03-06 03:03:09.110000;629;;
017;BTO107;Bante bat ba ba ba bfelis bconvallis bnam bve bac but bnec.;2017-03-06 03:03:29.429000;629;;
017;BTO107;Bamet bin bnisi ba ba beu.;2017-03-06 03:03:50.415000;629;;
017;KHN863;Bduis bad ba best bnullam bdis bvelit bnonummy.;2017-03-06 03:03:53.660000;513;209;200
017;KHN863;Bante beu ba best bfelis berat.;2017-03-06 03:04:10.643000;513;;
017;BTO107;Beros bin bposuere betiam berat bcras bsem.;2017-03-06 03:04:45.768000;629;205;200
017;BTO107;Bquis bmi bad bcras ba ba.;2017-03-06 03:05:08.631000;629;;
017;BTO107;Borci bat ba beu bsed bcongue bat ba bcras ba ba ba.;2017-03-06 03:08:40.964000;629;;
017;PXD385;Bquam beu.;2017-03-06 03:36:21.128000;629;;
017;PXD385;Berat bve ba bin bmagnis bpraesent bet bcongue ba bnec bnisi bamet bdis ba bnisl bvarius ba.;2017-03-06 03:36:47.057000;629;;
017;PXD385;Bquam bac ba ba bmetus ba.;2017-03-06 03:38:20.205000;629;;
017;PXD385;Bdiam bid ba bvitae bnunc.;2017-03-06 03:38:40.931000;629;;
017;PXD385;Bodio beu ba ba.;2017-03-06 03:39:06.620000;629;;
017;PXD385;Bduis but beu ba beu bdis bsit.;2017-03-06 03:40:18.294000;629;;
017;PXD385;Bquam bat.;2017-03-06 03:40:43.812000;629;;
017;PXD385;Bquis bve bmi.;2017-03-06 03:41:22.823000;629;;
017;PXD385;Bdiam beu benim bat ba bornare bposuere ba bve bmi bornare ba bvulputate ba belit ba.;2017-03-06 03:43:24.083000;629;;
017;EGK921;Borci but ba beu bmi.;2017-03-06 03:46:37.675000;413;;
017;PYH561;Bnisi bve bad bvel bac bnonummy bnisl ba ba ba ba.;2017-03-06 03:49:58.282000;409;;
017;YTG326;Bnisl beu bnisi bcum.;2017-03-06 03:54:11.701000;517;513;500
017;TFU306;Beget bet ba ba bdui.;2017-03-06 03:54:59.536000;507;;
017;YTG326;Burna bid ba baugue ba bcurae ba bvestibulum bid bet.;2017-03-06 03:55:01.936000;517;;
017;TFU306;Bnibh bmi ba bnulla bin bquis beros beni ba beuismod ba bproin ba ba ba bsit ba.;2017-03-06 03:55:28.408000;507;;
017;TFU306;Bpede bad ba.;2017-03-06 03:55:48.139000;507;;
017;SLP187;Borci but bposuere bmorbi ba ba bper ba.;2017-03-06 03:55:55.449000;409;;
017;TFU306;Bdiam beu ba ba bmi bturpis ba bac bgravida.;2017-03-06 03:56:17.755000;507;;
017;SLP187;Benim bmi.;2017-03-06 03:56:38.187000;409;;
017;TFU306;Beros bat ba ba bmontes bac beni bnon btempor.;2017-03-06 03:56:45.987000;507;;
017;SLP187;Bnisi beu ba bat ba.;2017-03-06 03:57:08.182000;409;;
017;TFU306;Bquis bmi.;2017-03-06 03:57:09.357000;507;;
017;TFU306;Borci but ba bpraesent berat beleifend.;2017-03-06 03:57:25.357000;507;;
017;TFU306;Bnisl bin bconubia bfacilisi bvel ba.;2017-03-06 03:57:46.517000;507;;
017;EPB160;Belit bac ba.;2017-03-06 03:58:42.649000;409;;
017;EPB160;Bdiam beu ba ba ba.;2017-03-06 03:59:12.092000;409;;
017;EKW143;Bquam bid barcu bclass bnam bquam ba bvitae bmattis bclass.;2017-03-06 04:00:21.923000;517;505;500
017;QMF308;Bduis but ba bsem bac btempor.;2017-03-06 04:00:42.680000;513;;
017;EKW143;Bcras bmi benim ba ba btellus ba.;2017-03-06 04:01:20.054000;517;505;500
017;DWK315;Bnibh but ba ba bnisl ba ba.;2017-03-06 04:01:25.393000;503;;
017;SGN329;Barcu but ba borci ba ba.;2017-03-06 04:01:44.385000;409;;
017;FUR610;Beros bet bve ba.;2017-03-06 04:01:47.626000;517;513;500
017;QMF308;Bquam bat ba bfelis bipsum bpellentesque begestas.;2017-03-06 04:02:31.258000;513;;
017;YKL520;Bodio bve ba blibero bdui bipsum bturpis ba.;2017-03-06 04:02:41.592000;511;;
017;YKZ247;Bpede bac bve ba ba bhac ba bgravida.;2017-03-06 04:02:48.437000;209;;
017;BHK490;Bamet but.;2017-03-06 04:03:07.584000;413;;
017;YKL520;Burna bat ba borci bnam ba ba.;2017-03-06 04:03:13.027000;511;;
017;EMV512;Berat beu.;2017-03-06 04:03:33.076000;517;503;500
017;YKL520;Bnunc bat ba bcras ba ba bve bad.;2017-03-06 04:03:45.549000;511;;
017;GYV645;Bnisl bad ba ba ba.;2017-03-06 04:03:55.558000;515;;
017;SVK948;Bquam bad.;2017-03-06 04:04:04.070000;629;;
017;QMF308;Bpede beu ba bornare bdiam bac ba ba ba bve bauctor ba ba.;2017-03-06 04:04:15.428000;513;;
017;GYV645;Beget bet ba ba bipsum btempor ba ba bsed ba bdui.;2017-03-06 04:04:18.445000;515;;
017;QMF308;Bodio beu ba bet ba bvel ba ba but bnam.;2017-03-06 04:04:33.997000;513;;
017;YKL520;Borci bin.;2017-03-06 04:04:36.645000;511;;
017;EMV512;Bodio bid.;2017-03-06 04:04:41.664000;517;;
017;SVK948;Bante bac bad ba.;2017-03-06 04:04:59.020000;629;;
017;QMF308;Belit beu.;2017-03-06 04:05:05.629000;513;;
017;YKL520;Berat bac beu bmus bat.;2017-03-06 04:05:10.129000;511;;
017;EMV512;Burna bat bad binterdum ba best bscelerisque ba bac btempor.;2017-03-06 04:05:14.613000;517;309;300
017;KWT597;Bcras but ba bmattis ba.;2017-03-06 04:06:31.962000;507;413;400
017;UJB305;Bcras bac ba bve bmi best bcum bmassa ba bpede ba bvel.;2017-03-06 04:06:44.735000;509;;
017;KWT597;Berat bin ba ba bsit best bmi brutrum bper.;2017-03-06 04:06:54.650000;507;;
017;KWT597;Berat beu bac ba ba but bquam ba.;2017-03-06 04:07:19.857000;507;;
017;LWK693;Bnunc bmi bquis ba bper bvelit.;2017-03-06 04:07:24.879000;409;;
017;LWK693;Bamet bac.;2017-03-06 04:07:44.348000;409;;
017;KWT597;Bamet beu.;2017-03-06 04:07:48.313000;507;;
017;KWT597;Bdiam bat bac ba ba ba ba blacus bve ba bmus.;2017-03-06 04:08:15.188000;507;;
017;KWT597;Burna but.;2017-03-06 04:08:39.198000;507;;
017;UYZ958;Bnisi bad ba ba bdis but bproin but ba bmattis ba.;2017-03-06 04:09:03.315000;413;;
017;KWT597;Benim but bve bnec bid bpede blibero ba binterdum ba ba ba.;2017-03-06 04:09:04.064000;507;;
017;KWT597;Bnisl bid ba beu ba beros bmus ba bvel bsit ba bnam belit ba.;2017-03-06 04:09:17.429000;507;;
017;KWT597;Beros bad ba bac bve bdolor.;2017-03-06 04:09:37.794000;507;;
017;YKZ247;Bnibh bmi bve bleo bve bposuere.;2017-03-06 04:10:04.709000;209;;
017;GMS924;Bamet bad ba bturpis bnec bid.;2017-03-06 04:11:00.659000;205;;
017;GMS924;Bnisl bac ba bdis ba borci bat ba bsit bdolor bcongue.;2017-03-06 04:11:52.102000;205;;
017;QFB620;Bnisi beu ba ba burna ba bturpis bvarius bsollicitudin.;2017-03-06 04:13:15.685000;511;;
017;QFB620;Bduis beu ba bfermentum bhac bet ba.;2017-03-06 04:13:35.957000;511;;
017;QVS392;Belit bet ba bnec bquis ba.;2017-03-06 04:15:20.094000;409;;
017;HTI974;Belit bac ba bin bcum bnam baptent bporta ba bid bporta bmi bquam ba.;2017-03-06 04:17:10.166000;629;;
017;WMR075;Bnunc bin ba ba beu ba bac ba.;2017-03-06 04:17:14.098000;517;;
017;HTI974;Bcras beu.;2017-03-06 04:17:31.389000;629;;
017;ULN810;Bpede bac.;2017-03-06 04:17:40.682000;509;;
017;ULN810;Barcu bid bet bve baugue ba ba.;2017-03-06 04:18:10.158000;509;;
017;HTI974;Bquam bac ba ba ba bin bsed ba ba bmi ba bfames barcu bmalesuada.;2017-03-06 04:18:12.406000;629;;
017;WMR075;Bquis bac ba ba beu bpede bodio bcondimentum btempus.;2017-03-06 04:18:35.364000;517;505;500
017;WMR075;Barcu bat ba bnam.;2017-03-06 04:19:34.830000;517;505;500
017;BEC741;Burna bmi ba.;2017-03-06 04:21:20.385000;513;;
017;ULN810;Bnisi bin bnunc bnec ba ba baptent.;2017-03-06 04:21:48.696000;509;;
017;ODX806;Burna beu ba bcum ba bmi bsemper.;2017-03-06 04:22:00.082000;629;;
017;YKZ247;Bquis beu ba bdui btaciti beu ba bneque bcongue ba ba ba beuismod.;2017-03-06 04:22:01.004000;209;;
017;ULN810;Bnibh bid blacinia bquam ba.;2017-03-06 04:22:09.825000;509;;
017;PSZ241;Bante bat ba bmus.;2017-03-06 04:22:13.714000;511;;
017;TGJ401;Bdiam bid ba bsem ba bipsum ba bvelit bprimis.;2017-03-06 04:22:16.469000;507;;
017;WMR075;Bnisl bid.;2017-03-06 04:22:18.580000;517;401;400
017;ODX806;Bquis bmi ba ba.;2017-03-06 04:22:32.313000;629;;
017;TGJ401;Borci bac bblandit betiam ba bsed ba ba bipsum.;2017-03-06 04:22:36.362000;507;;
017;ULN810;Benim bid.;2017-03-06 04:22:36.699000;509;;
017;BEC741;Bduis bat ba ba ba ba ba ba.;2017-03-06 04:22:40.614000;513;;
017;PSZ241;Bquam bmi ba ba.;2017-03-06 04:22:48.217000;511;;
017;TGJ401;Benim bet ba.;2017-03-06 04:22:55.604000;507;;
017;BEC741;Benim bid ba bdui ba bsodales bdui bvelit bluctus bmagna.;2017-03-06 04:23:00.431000;513;;
017;PSZ241;Barcu bve ba btortor blacinia ba best bnisl burna bcras bleo bad bet.;2017-03-06 04:23:06.423000;511;;
017;ULN810;Burna bmi.;2017-03-06 04:23:10.301000;509;;
017;TGJ401;Belit bid ba bante ba ba ba bcurae bnon bnec.;2017-03-06 04:23:20.745000;507;;
017;TGJ401;Borci bet ba bsit.;2017-03-06 04:24:01.431000;507;;
017;TGJ401;Bcras beu.;2017-03-06 04:24:31.744000;507;;
017;PGN796;Bante but ba ba blitora bdonec ba.;2017-03-06 04:24:52.428000;517;;
017;QME682;Bnibh bin ba ba ba.;2017-03-06 04:24:54.126000;205;;
017;YKL520;Bquam bid bsodales.;2017-03-06 04:25:02.042000;515;503;500
017;TGJ401;Bnunc but bad bvel ba.;2017-03-06 04:25:08.334000;507;401;400
017;TGJ401;Beget bin ba ba ba.;2017-03-06 04:25:31.492000;507;;
017;ULN810;Bnibh bmi ba ba ba but.;2017-03-06 04:25:39.243000;509;;
017;TGJ401;Bpede bac ba bad bfames bsodales beni ba ba barcu ba ba ba.;2017-03-06 04:25:50.856000;507;;
017;ULN810;Berat bet.;2017-03-06 04:26:01.504000;509;;
017;ULN810;Bduis bad ba bet.;2017-03-06 04:26:23.656000;509;;
017;WDM529;Bquis bve ba bmattis ba btempus beu ba bvel ba bleo.;2017-03-06 04:26:47.762000;409;;
017;PGN796;Bamet but.;2017-03-06 04:27:19.269000;517;;
017;EQK798;Berat bid ba bante bnetus bdui bnec.;2017-03-06 04:27:28.204000;409;;
017;YKL520;Bdiam bmi ba ba bjusto.;2017-03-06 04:27:30.966000;515;507;500
017;JDY852;Bquis bin ba best.;2017-03-06 04:27:34.473000;209;;
017;PYH561;Bamet beu ba ba ba but.;2017-03-06 04:27:36.025000;413;;
017;YKL520;Bnunc bat ba bsem ba bnunc ba ba bmi.;2017-03-06 04:28:05.367000;515;503;500
017;UFV140;Berat bad ba bnullam bmus ba ba bduis.;2017-03-06 04:28:06.693000;629;;
017;JDY852;Bdiam bve bmi bsagittis ba bvel bfames bpotenti.;2017-03-06 04:28:16.896000;209;;
017;BDV695;Benim bad.;2017-03-06 04:28:56.311000;629;;
017;PGN796;Bnunc bet bin ba bmetus bmolestie ba ba bparturient.;2017-03-06 04:28:57.043000;517;;
017;BDV695;Beget bid ba ba ba ba ba bfermentum ba bin.;2017-03-06 04:29:25.732000;629;;
017;BDV695;Beros but bid bnec bvivamus bipsum beros ba ba ba bmagna bvehicula blorem.;2017-03-06 04:30:18.208000;629;;
017;PGN796;Bdiam bac ba ba ba.;2017-03-06 04:30:33.497000;517;;
017;KHN863;Barcu bad ba.;2017-03-06 04:31:54.188000;517;505;500
017;OIF375;Bnisl bac ba bper bdiam beros bnam ba bleo ba bnam ba bvulputate bmetus.;2017-03-06 04:32:02.958000;507;;
017;OIF375;Borci bve ba bin berat ba bfringilla.;2017-03-06 04:32:18.737000;507;;
017;LYX953;Bcras bmi ba ba bmetus bve bet ba ba ba bfelis.;2017-03-06 04:32:21.744000;107;;
017;TLW135;Bquis bet ba brisus bmetus beu ba ba ba.;2017-03-06 04:32:38.984000;517;;
017;YPV702;Bquam bad ba bve bsagittis ba ba ba ba bve bleo.;2017-03-06 04:32:40.337000;409;;
017;OIF375;Bnisl bid binteger baugue.;2017-03-06 04:32:45.545000;507;;
017;OIF375;Bquis bve ba bmontes beros ba.;2017-03-06 04:33:08.935000;507;;
017;FNG604;Bnisl bac bve bsit bdui burna.;2017-03-06 04:33:13.881000;509;;
017;OIF375;Burna bid.;2017-03-06 04:33:27.199000;507;;
017;FNG604;Bcras bin ba bsemper bper ba berat ba.;2017-03-06 04:33:30.380000;509;;
017;OIF375;Bante bet ba ba ba ba ba ba ba bnam.;2017-03-06 04:33:47.648000;507;;
017;OIF375;Bquam bin bet bsem bquisque bet.;2017-03-06 04:34:13.209000;507;;
017;QFB620;Bduis bad ba.;2017-03-06 04:34:53.022000;515;;
017;OIF375;Bcras bin.;2017-03-06 04:34:54.197000;507;401;400
017;YNQ647;Bduis but ba bturpis ba ba.;2017-03-06 04:35:01.792000;629;;
017;LYX953;Benim bac ba ba bet beni binteger.;2017-03-06 04:35:05.668000;107;;
017;TJV623;Bquis but bin bmus ba ba btempor ba bmollis bid.;2017-03-06 04:35:13.260000;513;;
017;OIF375;Bquam but beu bnam bac ba bvel baugue beuismod bleo ba bpharetra beget bac ba.;2017-03-06 04:35:16.076000;507;;
017;XYI250;Bcras beu bduis best bat barcu ba bdolor berat borci belit bat ba bsit ba.;2017-03-06 04:35:23.655000;209;;
017;OIF375;Barcu bat ba.;2017-03-06 04:35:41.717000;507;;
017;TLW135;Bodio but.;2017-03-06 04:35:55.561000;517;;
017;YNQ647;Barcu bin.;2017-03-06 04:36:00.510000;629;;
017;XYI250;Bamet bmi ba baptent.;2017-03-06 04:36:02.989000;209;;
017;QFB620;Beget but bet ba ba bdui blibero ba borci bcurae bpellentesque.;2017-03-06 04:36:18.020000;515;503;500
017;YNQ647;Bnisl bmi ba ba ba beni bhendrerit bauctor bmus blorem bmauris bid bfelis bet.;2017-03-06 04:36:28.422000;629;;
017;YTG326;Bnunc bad ba bnunc.;2017-03-06 04:37:03.360000;629;;
017;CQO892;Bodio bet ba bper ba bquam ba ba ba bquisque.;2017-03-06 04:37:45.763000;511;;
017;KIM819;Bdiam bat.;2017-03-06 04:38:07.024000;517;503;500
017;CQO892;Bpede bac.;2017-03-06 04:38:29.954000;511;;
017;KIM819;Burna but burna ba bcras ba betiam.;2017-03-06 04:38:55.386000;517;507;500
017;CQO892;Bdiam but ba ba bcubilia btaciti ba bnec bmi blorem.;2017-03-06 04:39:19.569000;511;;
017;NGC871;Belit bve.;2017-03-06 04:39:32.308000;513;;
017;KIM819;Bamet bve ba bsem bligula bclass bhac.;2017-03-06 04:39:48.625000;517;501;500
017;CQO892;Bnunc bad ba ba bsed baenean betiam.;2017-03-06 04:39:56.280000;511;;
017;LWK693;Bnisl bve ba bdiam ba ba bpede ba betiam bquam bad bid ba ba btortor ba.;2017-03-06 04:40:13.175000;413;;
017;KIM819;Benim bad ba ba ba ba ba ba.;2017-03-06 04:40:25.180000;517;;
017;CQO892;Bnisl bad.;2017-03-06 04:40:46.317000;511;;200
017;GDU671;Bnunc bad ba blectus ba bnostra beu bdiam btempor bper bsit ba bad bsociis.;2017-03-06 04:41:17.050000;409;;
017;CQO892;Belit beu bmi ba ba bnon bmi.;2017-03-06 04:41:21.761000;511;;
017;CQO892;Bnisi but.;2017-03-06 04:41:54.719000;511;;
017;NGC871;Bduis bad bcras bcurae ba bsuscipit ba.;2017-03-06 04:41:57.652000;513;209;200
017;CQO892;Borci bmi ba ba ba bsociis benim ba.;2017-03-06 04:42:25.410000;511;;
017;GMS924;Bante bid ba bfaucibus ba bnon.;2017-03-06 04:42:56.206000;409;;
017;BHK490;Bduis but ba brutrum ba ba bnon bvenenatis btortor bat ba beu ba.;2017-03-06 04:43:14.120000;209;;
017;YKZ247;Bamet bmi bet bdui ba ba.;2017-03-06 04:45:52.137000;509;;
017;YKZ247;Bnibh beu.;2017-03-06 04:46:16.358000;509;;
017;YKZ247;Bnunc bet ba.;2017-03-06 04:46:36.753000;509;;
017;QVS392;Burna bac bve beu.;2017-03-06 04:49:31.320000;413;;
017;ELI075;Belit bat.;2017-03-06 04:49:41.717000;409;;
017;QMF308;Bnunc bet ba ba baptent bper bet ba ba.;2017-03-06 04:50:18.906000;517;505;500
017;NVM832;Beros bve ba bmassa bac bauctor ba ba.;2017-03-06 04:50:49.071000;507;413;400
017;NVM832;Bamet bid ba bmollis ba bmi ba bsed bat ba.;2017-03-06 04:51:23.249000;507;;
017;NHR180;Bnunc bad.;2017-03-06 04:51:40.011000;629;;
017;NHR180;Burna bmi bin ba bneque bve ba bmi ba bvelit bdonec bac baenean.;2017-03-06 04:51:57.477000;629;;
017;NVM832;Bcras but bat ba bet btellus burna.;2017-03-06 04:52:03.833000;507;;
017;DWK315;Bnibh bac ba bad bmagnis ba ba bin ba.;2017-03-06 04:52:19.642000;511;;
017;NHR180;Bnibh bad ba bleo bsem.;2017-03-06 04:52:24.299000;629;;
017;NVM832;Bdiam bmi ba but ba.;2017-03-06 04:52:40.526000;507;;
017;DWK315;Bquis bid.;2017-03-06 04:52:51.480000;511;;
017;NVM832;Bante beu.;2017-03-06 04:53:00.308000;507;;
017;NVM832;Bnisl but.;2017-03-06 04:53:21.016000;507;;
017;DWK315;Belit bid ba ba.;2017-03-06 04:53:24.251000;511;;
017;TLW135;Bnisl beu bad ba bfames barcu bmattis.;2017-03-06 04:53:31.694000;517;;
017;UYZ958;Bquam bve ba.;2017-03-06 04:53:42.159000;209;;
017;NVM832;Borci bid bac ba ba ba.;2017-03-06 04:53:43.418000;507;;
017;DWK315;Beros bac ba bad bsem ba ba bimperdiet bcum bid bsodales ba.;2017-03-06 04:54:02.567000;511;;
017;NVM832;Bnisl bet bad bac bduis bpede bmagnis ba bnam bsem.;2017-03-06 04:54:03.880000;507;;
017;NVM832;Bquis bac ba ba.;2017-03-06 04:54:21.026000;507;;
017;YLB740;Bpede bve ba barcu ba bve ba.;2017-03-06 04:54:26.108000;517;;
017;DWK315;Beget bat ba bve bper bpurus baptent.;2017-03-06 04:54:50.589000;511;;
017;NVM832;Bpede bet bac bcras btortor ba ba ba bdui ba ba.;2017-03-06 04:54:51.048000;507;;
017;YLB740;Bpede bve.;2017-03-06 04:55:34.880000;517;;
017;YLB740;Belit bat.;2017-03-06 04:56:09.943000;517;;
017;YLB740;Bodio bac bin betiam bat bcongue bmetus ba bnam ba bmetus bante belit bin.;2017-03-06 04:57:13.434000;517;;
017;SVK948;Bduis bac ba bdictum ba ba bdictum bsit ba btaciti btincidunt bblandit.;2017-03-06 04:58:46.674000;517;;
017;EWM290;Bquis bet ba bin ba bmi bin bac bpede.;2017-03-06 04:59:01.926000;629;;
017;JLD084;Burna but bin ba.;2017-03-06 04:59:12.090000;509;;
017;EWM290;Bante bid.;2017-03-06 05:00:56.492000;629;;
017;MBF976;Berat bin ba ba ba ba bporttitor bpede bac ba ba ba.;2017-03-06 05:01:45.289000;507;;
017;MBF976;Bduis bac ba ba ba bleo ba.;2017-03-06 05:02:12.291000;507;;
017;BEC741;Bpede bad ba ba ba bvelit bve bpede bleo ba ba bdis.;2017-03-06 05:02:18.782000;517;505;500
017;MBF976;Bnisi beu ba ba.;2017-03-06 05:02:34.519000;507;;
017;PSZ241;Borci bid baliquam bipsum ba bnostra bporttitor baliquet ba.;2017-03-06 05:03:13.774000;515;;
017;MBF976;Bnisi bmi.;2017-03-06 05:03:18.680000;507;;
017;JLD084;Bquam bid ba bad ba ba.;2017-03-06 05:03:20.872000;509;;
017;PSZ241;Borci but ba bcras bnec ba bhac ba baliquam bpotenti.;2017-03-06 05:03:36.423000;515;;
017;MBF976;Bnisl bve ba bvarius ba bve ba bet bhac bet beu bin ba.;2017-03-06 05:03:37.541000;507;;
017;MBF976;Bquam bid bin ba bdictum ba bsapien barcu bac ba bid brisus.;2017-03-06 05:03:59.192000;507;;
017;PSZ241;Bnunc but ba bante.;2017-03-06 05:04:03.815000;515;;
017;MBF976;Borci bid ba ba bet bve bdolor bmagnis bfames bsem bdui.;2017-03-06 05:04:25.734000;507;403;400
017;PSZ241;Bcras beu.;2017-03-06 05:04:33.900000;515;503;500
017;MBF976;Bamet bmi bac bper ba ba ba berat bve ba bmattis ba.;2017-03-06 05:04:58.663000;507;;
017;PSZ241;Bcras bid ba ba bvel bnam bquam.;2017-03-06 05:04:59.853000;515;;
017;MBF976;Belit bat bve benim ba ba.;2017-03-06 05:05:23.599000;507;;
